control_id,check_id,created_at,updated_at,is_deleted
654,cloudtrail_ac_17(6)_compliance,2025-08-12T14:18:24.333261,2025-08-12T14:18:24.333261,False
654,iam_ac_17(6)_compliance,2025-08-12T14:18:24.347313,2025-08-12T14:18:24.347313,False
654,s3_ac_17(6)_compliance,2025-08-12T14:18:24.360297,2025-08-12T14:18:24.360297,False
654,cloudwatch_ac_17(6)_compliance,2025-08-12T14:18:24.371901,2025-08-12T14:18:24.371901,False
798,github_ac_17(7)_compliance,2025-08-12T14:18:24.384768,2025-08-12T14:18:24.384768,False
798,ec2_ac_17(7)_compliance,2025-08-12T14:18:24.397222,2025-08-12T14:18:24.397222,False
798,cloudtrail_ac_17(7)_compliance,2025-08-12T14:18:24.409906,2025-08-12T14:18:24.409906,False
798,iam_ac_17(7)_compliance,2025-08-12T14:18:24.422448,2025-08-12T14:18:24.422448,False
798,s3_ac_17(7)_compliance,2025-08-12T14:18:24.435000,2025-08-12T14:18:24.435000,False
798,cloudwatch_ac_17(7)_compliance,2025-08-12T14:18:24.447688,2025-08-12T14:18:24.447688,False
815,github_ac_17(8)_compliance,2025-08-12T14:18:24.461167,2025-08-12T14:18:24.461167,False
815,ec2_ac_17(8)_compliance,2025-08-12T14:18:24.474437,2025-08-12T14:18:24.474437,False
815,cloudtrail_ac_17(8)_compliance,2025-08-12T14:18:24.486353,2025-08-12T14:18:24.486353,False
815,iam_ac_17(8)_compliance,2025-08-12T14:18:24.499687,2025-08-12T14:18:24.499687,False
815,s3_ac_17(8)_compliance,2025-08-12T14:18:24.511757,2025-08-12T14:18:24.511757,False
815,cloudwatch_ac_17(8)_compliance,2025-08-12T14:18:24.524822,2025-08-12T14:18:24.524822,False
761,github_ac_17(9)_compliance,2025-08-12T14:18:24.539229,2025-08-12T14:18:24.539229,False
761,ec2_ac_17(9)_compliance,2025-08-12T14:18:24.552108,2025-08-12T14:18:24.552108,False
761,cloudtrail_ac_17(9)_compliance,2025-08-12T14:18:24.565549,2025-08-12T14:18:24.565549,False
761,iam_ac_17(9)_compliance,2025-08-12T14:18:24.578994,2025-08-12T14:18:24.578994,False
761,s3_ac_17(9)_compliance,2025-08-12T14:18:24.592367,2025-08-12T14:18:24.592367,False
761,cloudwatch_ac_17(9)_compliance,2025-08-12T14:18:24.605563,2025-08-12T14:18:24.605563,False
29,github_ac_18_compliance,2025-08-12T14:18:24.619622,2025-08-12T14:18:24.619622,False
29,ec2_ac_18_compliance,2025-08-12T14:18:24.632764,2025-08-12T14:18:24.632764,False
29,cloudtrail_ac_18_compliance,2025-08-12T14:18:24.646718,2025-08-12T14:18:24.646718,False
29,iam_ac_18_compliance,2025-08-12T14:18:24.663052,2025-08-12T14:18:24.663052,False
29,s3_ac_18_compliance,2025-08-12T14:18:24.677303,2025-08-12T14:18:24.677303,False
29,cloudwatch_ac_18_compliance,2025-08-12T14:18:24.692616,2025-08-12T14:18:24.692616,False
80,github_ac_18(1)_compliance,2025-08-12T14:18:24.707180,2025-08-12T14:18:24.707180,False
80,ec2_ac_18(1)_compliance,2025-08-12T14:18:24.722428,2025-08-12T14:18:24.722428,False
80,cloudtrail_ac_18(1)_compliance,2025-08-12T14:18:24.736263,2025-08-12T14:18:24.736263,False
80,iam_ac_18(1)_compliance,2025-08-12T14:18:24.750137,2025-08-12T14:18:24.750137,False
80,s3_ac_18(1)_compliance,2025-08-12T14:18:24.764636,2025-08-12T14:18:24.764636,False
80,cloudwatch_ac_18(1)_compliance,2025-08-12T14:18:24.778180,2025-08-12T14:18:24.778180,False
411,github_ac_18(2)_compliance,2025-08-12T14:18:24.791604,2025-08-12T14:18:24.791604,False
411,ec2_ac_18(2)_compliance,2025-08-12T14:18:24.804183,2025-08-12T14:18:24.804183,False
411,cloudtrail_ac_18(2)_compliance,2025-08-12T14:18:24.818197,2025-08-12T14:18:24.818197,False
411,iam_ac_18(2)_compliance,2025-08-12T14:18:24.832250,2025-08-12T14:18:24.832250,False
411,s3_ac_18(2)_compliance,2025-08-12T14:18:24.846079,2025-08-12T14:18:24.846079,False
411,cloudwatch_ac_18(2)_compliance,2025-08-12T14:18:24.860042,2025-08-12T14:18:24.860042,False
603,github_ac_18(3)_compliance,2025-08-12T14:18:24.873736,2025-08-12T14:18:24.873736,False
603,ec2_ac_18(3)_compliance,2025-08-12T14:18:24.887498,2025-08-12T14:18:24.887498,False
603,cloudtrail_ac_18(3)_compliance,2025-08-12T14:18:24.908199,2025-08-12T14:18:24.908199,False
603,iam_ac_18(3)_compliance,2025-08-12T14:18:24.922662,2025-08-12T14:18:24.922662,False
603,s3_ac_18(3)_compliance,2025-08-12T14:18:24.936993,2025-08-12T14:18:24.936993,False
